symbol,date,open,high,low,close,volume,adjusted
NVDA,01-06-2017,3.624749899,3.625750065,3.562999964,3.608999968,503340000.00,3.564924002
NVDA,02-06-2017,3.605999947,3.632499933,3.585000038,3.59100008,487456000.00,3.547144175
NVDA,05-06-2017,3.574500084,3.713249922,3.562750101,3.70024991,817376000.00,3.655059814
NVDA,06-06-2017,3.695499897,3.742249966,3.670000076,3.683500051,758728000.00,3.638514757
NVDA,07-06-2017,3.708250046,3.746999979,3.692500114,3.727999926,612612000.00,3.682471275
NVDA,08-06-2017,3.836499929,4,3.794749975,3.998500109,1161744000.00,3.949667692
NVDA,09-06-2017,4.118500233,4.212500095,3.568749905,3.74000001,3692928000.00,3.694324493
NVDA,12-06-2017,3.647000074,3.792500019,3.552750111,3.749249935,1697532000.00,3.703461647
NVDA,13-06-2017,3.859999895,3.869250059,3.641249895,3.785000086,1672504000.00,3.738775492
NVDA,14-06-2017,3.788000107,3.851500034,3.712500095,3.792999983,1184640000.00,3.746677637
NVDA,15-06-2017,3.674000025,3.839999914,3.662499905,3.809250116,963824000.00,3.76272893
NVDA,16-06-2017,3.819000006,3.867500067,3.756000042,3.790499926,924960000.00,3.744207859
NVDA,19-06-2017,3.835249901,3.938250065,3.831500053,3.933000088,778176000.00,3.884968519
NVDA,20-06-2017,3.975749969,4.043499947,3.923000097,3.927249908,1095444000.00,3.879287958
NVDA,21-06-2017,3.955250025,3.990499973,3.892499924,3.986749887,682652000.00,3.938061476
NVDA,22-06-2017,3.994999886,4.008500099,3.934999943,3.959249973,469132000.00,3.910897255
NVDA,23-06-2017,3.967000008,3.98300004,3.830499887,3.845750093,1088588000.00,3.798783779
NVDA,26-06-2017,3.878999949,3.914999962,3.708250046,3.803750038,1063960000.00,3.757296562
NVDA,27-06-2017,3.786000013,3.794749975,3.658750057,3.664499998,999492000.00,3.619746923
NVDA,28-06-2017,3.73300004,3.798500061,3.643749952,3.793750048,994948000.00,3.747418165
NVDA,29-06-2017,3.765000105,3.767999887,3.601999998,3.667000055,1064424000.00,3.622215986
NVDA,30-06-2017,3.684499979,3.698250055,3.587500095,3.614000082,731060000.00,3.569863796
NVDA,03-07-2017,3.626250029,3.641249895,3.46449995,3.483249903,709072000.00,3.440710306
NVDA,05-07-2017,3.547499895,3.605499983,3.528249979,3.576250076,820188000.00,3.5325737
NVDA,06-07-2017,3.546750069,3.634500027,3.493999958,3.586999893,746284000.00,3.54319334
NVDA,07-07-2017,3.644500017,3.6875,3.621249914,3.66899991,654972000.00,3.624191761
NVDA,10-07-2017,3.743499994,3.849999905,3.717000008,3.842499971,958492000.00,3.795573235
NVDA,11-07-2017,3.846250057,3.904750109,3.803750038,3.897000074,757956000.00,3.849406958
NVDA,12-07-2017,3.957499981,4.074999809,3.914000034,4.062749863,1145208000.00,4.013132572
NVDA,13-07-2017,4.074999809,4.15749979,3.96875,4.015749931,1369132000.00,3.966706753
NVDA,14-07-2017,4.032249928,4.125249863,4.025249958,4.12375021,941948000.00,4.073387623
NVDA,17-07-2017,4.158249855,4.1875,4.043749809,4.106249809,930792000.00,4.056100845
NVDA,18-07-2017,4.044499874,4.163750172,4.03249979,4.149000168,776640000.00,4.098330021
NVDA,19-07-2017,4.158249855,4.184999943,4.115250111,4.127500057,687044000.00,4.077092171
NVDA,20-07-2017,4.148250103,4.187749863,4.097750187,4.1875,699596000.00,4.136359692
NVDA,21-07-2017,4.166749954,4.232500076,4.152249813,4.202499866,648332000.00,4.151175976
NVDA,24-07-2017,4.209750175,4.219500065,4.143000126,4.153749943,652524000.00,4.103020668
NVDA,25-07-2017,4.13049984,4.148250103,4.08949995,4.133749962,496556000.00,4.083265781
NVDA,26-07-2017,4.191999912,4.248250008,4.146249771,4.181499958,640404000.00,4.130432129
NVDA,27-07-2017,4.206749916,4.218500137,3.938999891,4.043499947,782856000.00,3.994117975
NVDA,28-07-2017,4.007249832,4.134500027,3.982000113,4.109749794,513348000.00,4.059559345
NVDA,31-07-2017,4.12349987,4.159999847,4.015500069,4.062749863,559672000.00,4.013132572
NVDA,01-08-2017,4.053249836,4.113999844,4.025000095,4.112249851,431384000.00,4.062029839
NVDA,02-08-2017,4.143750191,4.147749901,4.031750202,4.109749794,478444000.00,4.059559345
NVDA,03-08-2017,4.109250069,4.165750027,4.092000008,4.162000179,442420000.00,4.111170292
NVDA,04-08-2017,4.184999943,4.251749992,4.162000179,4.180250168,589096000.00,4.129198074
NVDA,07-08-2017,4.209750175,4.309249878,4.199999809,4.308750153,717412000.00,4.256127834
NVDA,08-08-2017,4.347249985,4.363999844,4.217750072,4.257500172,755336000.00,4.205504417
NVDA,09-08-2017,4.210750103,4.305250168,4.19175005,4.302750111,530784000.00,4.250203133
NVDA,10-08-2017,4.303999901,4.316500187,4.108250141,4.118500233,1328088000.00,4.068202972
NVDA,11-08-2017,3.928499937,3.974999905,3.822750092,3.898999929,1497196000.00,3.851382732
NVDA,14-08-2017,3.991750002,4.213749886,3.980000019,4.210000038,1279020000.00,4.158586502
NVDA,15-08-2017,4.215250015,4.241749763,4.139750004,4.174499989,764532000.00,4.123517036
NVDA,16-08-2017,4.189750195,4.213500023,4.096000195,4.128749847,596632000.00,4.078327179
NVDA,17-08-2017,4.120250225,4.137499809,4.034500122,4.03674984,525444000.00,3.987451077
NVDA,18-08-2017,4.091750145,4.109000206,3.990999937,4.037499905,601204000.00,3.988191366
NVDA,21-08-2017,4.062250137,4.073750019,3.934250116,3.97874999,623672000.00,3.930158854
NVDA,22-08-2017,4.012249947,4.069749832,3.992749929,4.06374979,450456000.00,4.017654419
NVDA,23-08-2017,4.03000021,4.15625,4.021249771,4.144999981,579520000.00,4.097983837
NVDA,24-08-2017,4.177499771,4.18200016,4.103000164,4.129749775,469700000.00,4.082906246
NVDA,25-08-2017,4.154250145,4.164500237,4.088749886,4.09525013,357200000.00,4.048799038
NVDA,28-08-2017,4.114500046,4.127500057,4.05824995,4.124249935,389496000.00,4.077467918
NVDA,29-08-2017,4.064750195,4.139500141,4.056499958,4.117499828,324096000.00,4.070795059
NVDA,30-08-2017,4.137499809,4.153250217,4.106750011,4.142000198,384400000.00,4.09501791
NVDA,31-08-2017,4.162499905,4.239999771,4.15500021,4.236000061,612684000.00,4.187950611
NVDA,01-09-2017,4.24875021,4.297500134,4.239999771,4.261499882,445432000.00,4.213160515
NVDA,05-09-2017,4.209499836,4.21449995,4.089000225,4.147749901,695364000.00,4.100702286
NVDA,06-09-2017,4.181000233,4.195000172,4.110000134,4.145249844,397672000.00,4.098230362
NVDA,07-09-2017,4.162250042,4.197249889,4.12375021,4.164500237,352868000.00,4.11726141
NVDA,08-09-2017,4.152750015,4.167749882,4.067749977,4.09224987,498856000.00,4.045831203
NVDA,11-09-2017,4.138500214,4.235750198,4.132999897,4.224999905,567444000.00,4.177076817
NVDA,12-09-2017,4.25,4.25,4.174250126,4.240250111,411488000.00,4.192152977
NVDA,13-09-2017,4.214749813,4.288499832,4.18200016,4.259250164,580960000.00,4.2109375
NVDA,14-09-2017,4.219749928,4.31400013,4.195000172,4.235000134,513712000.00,4.186962128
NVDA,15-09-2017,4.321499825,4.50274992,4.316249847,4.50274992,1364792000.00,4.451675892
NVDA,18-09-2017,4.628499985,4.78000021,4.621500015,4.68874979,1684460000.00,4.635566235
NVDA,19-09-2017,4.637750149,4.746250153,4.615499973,4.683750153,874280000.00,4.630622387
NVDA,20-09-2017,4.6875,4.735499859,4.605249882,4.645999908,724920000.00,4.593299389
NVDA,21-09-2017,4.540999889,4.567500114,4.44024992,4.519000053,1075600000.00,4.467741489
NVDA,22-09-2017,4.507500172,4.557750225,4.465000153,4.474999905,491232000.00,4.424240112
NVDA,25-09-2017,4.443749905,4.445000172,4.254000187,4.275000095,874580000.00,4.226508141
NVDA,26-09-2017,4.411250114,4.467000008,4.258749962,4.298999786,1125620000.00,4.250236988
NVDA,27-09-2017,4.390500069,4.406750202,4.318749905,4.393249989,713720000.00,4.343417645
NVDA,28-09-2017,4.400499821,4.404500008,4.343999863,4.392000198,435244000.00,4.342181683
NVDA,29-09-2017,4.477000237,4.493249893,4.431250095,4.469250202,619092000.00,4.41855669
NVDA,02-10-2017,4.519999981,4.549499989,4.425000191,4.474999905,503480000.00,4.424240112
NVDA,03-10-2017,4.481249809,4.514500141,4.439499855,4.484250069,390332000.00,4.433385372
NVDA,04-10-2017,4.490499973,4.544250011,4.453499794,4.521749973,427848000.00,4.470458984
NVDA,05-10-2017,4.546500206,4.550000191,4.488999844,4.519249916,437364000.00,4.467987061
NVDA,06-10-2017,4.491250038,4.546000004,4.474999905,4.53249979,318800000.00,4.481086731
NVDA,09-10-2017,4.569749832,4.668250084,4.550749779,4.634749889,563492000.00,4.582176685
NVDA,10-10-2017,4.785749912,4.823750019,4.681499958,4.723249912,974876000.00,4.669674873
NVDA,11-10-2017,4.739999771,4.775000095,4.693500042,4.773499966,529508000.00,4.719353199
NVDA,12-10-2017,4.77699995,4.827250004,4.748250008,4.77575016,528292000.00,4.721579552
NVDA,13-10-2017,4.838749886,4.875,4.791250229,4.864749908,628728000.00,4.809570313
NVDA,16-10-2017,4.894999981,4.951250076,4.830999851,4.948249817,576640000.00,4.892121315
NVDA,17-10-2017,4.927249908,4.972499847,4.908750057,4.943749905,478596000.00,4.887673855
NVDA,18-10-2017,4.952750206,4.953499794,4.833000183,4.939499855,567316000.00,4.883473396
NVDA,19-10-2017,4.861000061,4.949999809,4.81125021,4.945000172,570772000.00,4.888908863
NVDA,20-10-2017,4.962250233,4.989749908,4.913499832,4.922500134,451620000.00,4.86666441
NVDA,23-10-2017,4.944499969,4.971250057,4.894999981,4.915500164,428696000.00,4.859743118
NVDA,24-10-2017,4.924749851,4.96875,4.898499966,4.967000008,407244000.00,4.910659313
NVDA,25-10-2017,4.927000046,4.980500221,4.779250145,4.841499805,828160000.00,4.786583424
NVDA,26-10-2017,4.86950016,4.903999805,4.84525013,4.892250061,322744000.00,4.83675766
NVDA,27-10-2017,4.945000172,5.046750069,4.918749809,5.046500206,572192000.00,4.989257813
NVDA,30-10-2017,5.046500206,5.152249813,5.030499935,5.096000195,504056000.00,5.03819561
NVDA,31-10-2017,5.128250122,5.197249889,5.122499943,5.170249939,411908000.00,5.111604214
NVDA,01-11-2017,5.233749866,5.249249935,5.114999771,5.179999828,502576000.00,5.121243
NVDA,02-11-2017,5.150000095,5.195250034,5.091249943,5.148499966,342308000.00,5.090101242
NVDA,03-11-2017,5.179999828,5.21724987,5.133500099,5.21724987,353640000.00,5.158070564
NVDA,06-11-2017,5.179999828,5.249499798,5.167500019,5.240749836,389944000.00,5.181304932
NVDA,07-11-2017,5.263750076,5.322500229,5.25150013,5.300749779,427700000.00,5.240622997
NVDA,08-11-2017,5.296249866,5.300000191,5.181000233,5.229000092,522988000.00,5.169688225
NVDA,09-11-2017,5.131750107,5.158249855,5.009250164,5.132999897,978564000.00,5.074776173
NVDA,10-11-2017,5.327000141,5.466750145,5.290750027,5.40350008,1253256000.00,5.342207432
